1 epoch, LR 0.001000, LOSS 11.089585, ACC 0.41%, EER 12.31%, bestEER 12.31%,MinDCF 0.63%, MinDCF 0.63%
2 epoch, LR 0.000970, LOSS 8.147639, ACC 4.05%, EER 9.35%, bestEER 9.35%,MinDCF 0.49%, MinDCF 0.49%
3 epoch, LR 0.000941, LOSS 6.563890, ACC 9.77%, EER 7.44%, bestEER 7.44%,MinDCF 0.44%, MinDCF 0.44%
4 epoch, LR 0.000913, LOSS 5.730047, ACC 14.40%, EER 6.79%, bestEER 6.79%,MinDCF 0.40%, MinDCF 0.40%
5 epoch, LR 0.000885, LOSS 5.221584, ACC 17.99%, EER 5.69%, bestEER 5.69%,MinDCF 0.35%, MinDCF 0.35%
6 epoch, LR 0.000859, LOSS 4.838627, ACC 21.02%, EER 5.60%, bestEER 5.60%,MinDCF 0.35%, MinDCF 0.35%
7 epoch, LR 0.000833, LOSS 4.546990, ACC 23.81%, EER 5.34%, bestEER 5.34%,MinDCF 0.34%, MinDCF 0.34%
8 epoch, LR 0.000808, LOSS 4.319089, ACC 25.98%, EER 5.23%, bestEER 5.23%,MinDCF 0.33%, MinDCF 0.33%
9 epoch, LR 0.000784, LOSS 4.122035, ACC 28.04%, EER 4.98%, bestEER 4.98%,MinDCF 0.31%, MinDCF 0.31%
10 epoch, LR 0.000760, LOSS 3.962775, ACC 29.80%, EER 4.79%, bestEER 4.79%,MinDCF 0.30%, MinDCF 0.30%
11 epoch, LR 0.000737, LOSS 3.809894, ACC 31.54%, EER 4.72%, bestEER 4.72%,MinDCF 0.29%, MinDCF 0.29%
12 epoch, LR 0.000715, LOSS 3.687350, ACC 33.04%, EER 4.38%, bestEER 4.38%,MinDCF 0.28%, MinDCF 0.28%
13 epoch, LR 0.000694, LOSS 3.566633, ACC 34.37%, EER 4.31%, bestEER 4.31%,MinDCF 0.29%, MinDCF 0.28%
14 epoch, LR 0.000673, LOSS 3.453931, ACC 35.88%, EER 4.12%, bestEER 4.12%,MinDCF 0.27%, MinDCF 0.27%
15 epoch, LR 0.000653, LOSS 3.368141, ACC 36.99%, EER 4.25%, bestEER 4.12%,MinDCF 0.28%, MinDCF 0.27%
16 epoch, LR 0.000633, LOSS 3.252404, ACC 38.35%, EER 4.11%, bestEER 4.11%,MinDCF 0.28%, MinDCF 0.27%
17 epoch, LR 0.000614, LOSS 3.180135, ACC 39.38%, EER 3.89%, bestEER 3.89%,MinDCF 0.26%, MinDCF 0.26%
18 epoch, LR 0.000596, LOSS 3.117350, ACC 40.27%, EER 4.11%, bestEER 3.89%,MinDCF 0.27%, MinDCF 0.26%
19 epoch, LR 0.000578, LOSS 3.042937, ACC 41.30%, EER 3.93%, bestEER 3.89%,MinDCF 0.25%, MinDCF 0.25%
20 epoch, LR 0.000561, LOSS 2.969079, ACC 42.26%, EER 3.90%, bestEER 3.89%,MinDCF 0.26%, MinDCF 0.25%
21 epoch, LR 0.000544, LOSS 2.912192, ACC 43.14%, EER 3.96%, bestEER 3.89%,MinDCF 0.26%, MinDCF 0.25%
22 epoch, LR 0.000527, LOSS 2.861227, ACC 43.77%, EER 3.82%, bestEER 3.82%,MinDCF 0.25%, MinDCF 0.25%
23 epoch, LR 0.000512, LOSS 2.782436, ACC 45.01%, EER 3.91%, bestEER 3.82%,MinDCF 0.24%, MinDCF 0.24%
24 epoch, LR 0.000496, LOSS 2.739582, ACC 45.63%, EER 3.83%, bestEER 3.82%,MinDCF 0.27%, MinDCF 0.24%
25 epoch, LR 0.000481, LOSS 2.685720, ACC 46.43%, EER 3.88%, bestEER 3.82%,MinDCF 0.26%, MinDCF 0.24%
26 epoch, LR 0.000467, LOSS 2.635615, ACC 47.29%, EER 3.61%, bestEER 3.61%,MinDCF 0.24%, MinDCF 0.24%
27 epoch, LR 0.000453, LOSS 2.610845, ACC 47.73%, EER 3.61%, bestEER 3.61%,MinDCF 0.23%, MinDCF 0.23%
28 epoch, LR 0.000439, LOSS 2.553923, ACC 48.60%, EER 3.78%, bestEER 3.61%,MinDCF 0.25%, MinDCF 0.23%
29 epoch, LR 0.000426, LOSS 2.512803, ACC 49.29%, EER 3.57%, bestEER 3.57%,MinDCF 0.25%, MinDCF 0.23%
30 epoch, LR 0.000413, LOSS 2.482650, ACC 49.61%, EER 3.58%, bestEER 3.57%,MinDCF 0.25%, MinDCF 0.23%
31 epoch, LR 0.000401, LOSS 2.445915, ACC 50.24%, EER 3.73%, bestEER 3.57%,MinDCF 0.26%, MinDCF 0.23%
32 epoch, LR 0.000389, LOSS 2.393538, ACC 51.10%, EER 3.56%, bestEER 3.56%,MinDCF 0.23%, MinDCF 0.23%
33 epoch, LR 0.000377, LOSS 2.369049, ACC 51.57%, EER 3.52%, bestEER 3.52%,MinDCF 0.24%, MinDCF 0.23%
34 epoch, LR 0.000366, LOSS 2.349927, ACC 52.02%, EER 3.43%, bestEER 3.43%,MinDCF 0.21%, MinDCF 0.21%
35 epoch, LR 0.000355, LOSS 2.304616, ACC 52.47%, EER 3.45%, bestEER 3.43%,MinDCF 0.24%, MinDCF 0.21%
36 epoch, LR 0.000344, LOSS 2.282694, ACC 53.10%, EER 3.41%, bestEER 3.41%,MinDCF 0.24%, MinDCF 0.21%
37 epoch, LR 0.000334, LOSS 2.235449, ACC 53.90%, EER 3.44%, bestEER 3.41%,MinDCF 0.23%, MinDCF 0.21%
38 epoch, LR 0.000324, LOSS 2.219869, ACC 54.06%, EER 3.42%, bestEER 3.41%,MinDCF 0.24%, MinDCF 0.21%
39 epoch, LR 0.000314, LOSS 2.203781, ACC 54.33%, EER 3.47%, bestEER 3.41%,MinDCF 0.22%, MinDCF 0.21%
40 epoch, LR 0.000305, LOSS 2.172608, ACC 54.86%, EER 3.31%, bestEER 3.31%,MinDCF 0.22%, MinDCF 0.21%
41 epoch, LR 0.000296, LOSS 2.138879, ACC 55.38%, EER 3.34%, bestEER 3.31%,MinDCF 0.21%, MinDCF 0.21%
42 epoch, LR 0.000287, LOSS 2.123481, ACC 55.73%, EER 3.29%, bestEER 3.29%,MinDCF 0.24%, MinDCF 0.21%
43 epoch, LR 0.000278, LOSS 2.102078, ACC 56.05%, EER 3.48%, bestEER 3.29%,MinDCF 0.23%, MinDCF 0.21%
44 epoch, LR 0.000270, LOSS 2.073349, ACC 56.51%, EER 3.40%, bestEER 3.29%,MinDCF 0.22%, MinDCF 0.21%
45 epoch, LR 0.000262, LOSS 2.060108, ACC 56.72%, EER 3.26%, bestEER 3.26%,MinDCF 0.20%, MinDCF 0.20%
46 epoch, LR 0.000254, LOSS 2.036777, ACC 57.23%, EER 3.28%, bestEER 3.26%,MinDCF 0.22%, MinDCF 0.20%
47 epoch, LR 0.000246, LOSS 2.004468, ACC 57.75%, EER 3.30%, bestEER 3.26%,MinDCF 0.22%, MinDCF 0.20%
48 epoch, LR 0.000239, LOSS 1.995482, ACC 57.95%, EER 3.44%, bestEER 3.26%,MinDCF 0.23%, MinDCF 0.20%
49 epoch, LR 0.000232, LOSS 1.972111, ACC 58.32%, EER 3.33%, bestEER 3.26%,MinDCF 0.22%, MinDCF 0.20%
50 epoch, LR 0.000225, LOSS 1.968578, ACC 58.63%, EER 3.20%, bestEER 3.20%,MinDCF 0.21%, MinDCF 0.20%
51 epoch, LR 0.000218, LOSS 1.950360, ACC 58.75%, EER 3.34%, bestEER 3.20%,MinDCF 0.22%, MinDCF 0.20%
52 epoch, LR 0.000212, LOSS 1.918661, ACC 59.26%, EER 3.25%, bestEER 3.20%,MinDCF 0.21%, MinDCF 0.20%
53 epoch, LR 0.000205, LOSS 1.898583, ACC 59.70%, EER 3.20%, bestEER 3.20%,MinDCF 0.21%, MinDCF 0.20%
54 epoch, LR 0.000199, LOSS 1.888742, ACC 59.95%, EER 3.17%, bestEER 3.17%,MinDCF 0.22%, MinDCF 0.20%
55 epoch, LR 0.000193, LOSS 1.882125, ACC 60.05%, EER 3.29%, bestEER 3.17%,MinDCF 0.22%, MinDCF 0.20%
56 epoch, LR 0.000187, LOSS 1.858990, ACC 60.38%, EER 3.16%, bestEER 3.16%,MinDCF 0.23%, MinDCF 0.20%
57 epoch, LR 0.000182, LOSS 1.845182, ACC 60.71%, EER 3.18%, bestEER 3.16%,MinDCF 0.22%, MinDCF 0.20%
58 epoch, LR 0.000176, LOSS 1.834175, ACC 60.86%, EER 3.19%, bestEER 3.16%,MinDCF 0.22%, MinDCF 0.20%
59 epoch, LR 0.000171, LOSS 1.832770, ACC 60.92%, EER 3.15%, bestEER 3.15%,MinDCF 0.21%, MinDCF 0.20%
60 epoch, LR 0.000166, LOSS 1.804838, ACC 61.57%, EER 3.08%, bestEER 3.08%,MinDCF 0.21%, MinDCF 0.20%
61 epoch, LR 0.000161, LOSS 1.789085, ACC 61.83%, EER 3.19%, bestEER 3.08%,MinDCF 0.22%, MinDCF 0.20%
62 epoch, LR 0.000156, LOSS 1.772463, ACC 61.89%, EER 3.12%, bestEER 3.08%,MinDCF 0.21%, MinDCF 0.20%
63 epoch, LR 0.000151, LOSS 1.761318, ACC 62.24%, EER 3.14%, bestEER 3.08%,MinDCF 0.23%, MinDCF 0.20%
64 epoch, LR 0.000147, LOSS 1.748323, ACC 62.56%, EER 3.13%, bestEER 3.08%,MinDCF 0.22%, MinDCF 0.20%
65 epoch, LR 0.000142, LOSS 1.734563, ACC 62.71%, EER 3.09%, bestEER 3.08%,MinDCF 0.21%, MinDCF 0.20%
66 epoch, LR 0.000138, LOSS 1.728758, ACC 62.76%, EER 3.08%, bestEER 3.08%,MinDCF 0.20%, MinDCF 0.20%
