1 epoch, LR 0.001000, LOSS 10.524229, ACC 0.92%, EER 11.63%, bestEER 11.63%,MinDCF 0.62%, MinDCF 0.62%
2 epoch, LR 0.000970, LOSS 7.165165, ACC 7.39%, EER 8.56%, bestEER 8.56%,MinDCF 0.50%, MinDCF 0.50%
3 epoch, LR 0.000941, LOSS 5.685388, ACC 14.98%, EER 6.86%, bestEER 6.86%,MinDCF 0.40%, MinDCF 0.40%
4 epoch, LR 0.000913, LOSS 4.943456, ACC 20.43%, EER 6.67%, bestEER 6.67%,MinDCF 0.40%, MinDCF 0.40%
5 epoch, LR 0.000885, LOSS 4.488515, ACC 24.39%, EER 6.07%, bestEER 6.07%,MinDCF 0.37%, MinDCF 0.37%
6 epoch, LR 0.000859, LOSS 4.162746, ACC 27.79%, EER 5.39%, bestEER 5.39%,MinDCF 0.34%, MinDCF 0.34%
7 epoch, LR 0.000833, LOSS 3.907091, ACC 30.48%, EER 5.32%, bestEER 5.32%,MinDCF 0.35%, MinDCF 0.34%
8 epoch, LR 0.000808, LOSS 3.686771, ACC 32.94%, EER 4.94%, bestEER 4.94%,MinDCF 0.31%, MinDCF 0.31%
9 epoch, LR 0.000784, LOSS 3.524136, ACC 35.17%, EER 4.83%, bestEER 4.83%,MinDCF 0.32%, MinDCF 0.31%
10 epoch, LR 0.000760, LOSS 3.349216, ACC 37.19%, EER 4.40%, bestEER 4.40%,MinDCF 0.27%, MinDCF 0.27%
11 epoch, LR 0.000737, LOSS 3.221298, ACC 39.00%, EER 4.62%, bestEER 4.40%,MinDCF 0.31%, MinDCF 0.27%
12 epoch, LR 0.000715, LOSS 3.107955, ACC 40.63%, EER 4.35%, bestEER 4.35%,MinDCF 0.29%, MinDCF 0.27%
13 epoch, LR 0.000694, LOSS 2.998960, ACC 42.08%, EER 4.29%, bestEER 4.29%,MinDCF 0.29%, MinDCF 0.27%
14 epoch, LR 0.000673, LOSS 2.902859, ACC 43.41%, EER 4.44%, bestEER 4.29%,MinDCF 0.29%, MinDCF 0.27%
15 epoch, LR 0.000653, LOSS 2.808872, ACC 44.77%, EER 4.14%, bestEER 4.14%,MinDCF 0.28%, MinDCF 0.27%
16 epoch, LR 0.000633, LOSS 2.723438, ACC 46.05%, EER 4.08%, bestEER 4.08%,MinDCF 0.27%, MinDCF 0.27%
17 epoch, LR 0.000614, LOSS 2.647550, ACC 47.13%, EER 3.83%, bestEER 3.83%,MinDCF 0.26%, MinDCF 0.26%
18 epoch, LR 0.000596, LOSS 2.575159, ACC 48.29%, EER 3.91%, bestEER 3.83%,MinDCF 0.27%, MinDCF 0.26%
19 epoch, LR 0.000578, LOSS 2.510931, ACC 49.13%, EER 3.83%, bestEER 3.83%,MinDCF 0.28%, MinDCF 0.26%
20 epoch, LR 0.000561, LOSS 2.455757, ACC 50.14%, EER 3.79%, bestEER 3.79%,MinDCF 0.27%, MinDCF 0.26%
21 epoch, LR 0.000544, LOSS 2.389441, ACC 51.21%, EER 3.76%, bestEER 3.76%,MinDCF 0.26%, MinDCF 0.26%
22 epoch, LR 0.000527, LOSS 2.345785, ACC 52.10%, EER 3.82%, bestEER 3.76%,MinDCF 0.25%, MinDCF 0.25%
23 epoch, LR 0.000512, LOSS 2.298240, ACC 52.86%, EER 3.54%, bestEER 3.54%,MinDCF 0.25%, MinDCF 0.25%
24 epoch, LR 0.000496, LOSS 2.241484, ACC 53.80%, EER 3.75%, bestEER 3.54%,MinDCF 0.25%, MinDCF 0.25%
25 epoch, LR 0.000481, LOSS 2.204487, ACC 54.39%, EER 3.61%, bestEER 3.54%,MinDCF 0.24%, MinDCF 0.24%
26 epoch, LR 0.000467, LOSS 2.148171, ACC 55.35%, EER 3.57%, bestEER 3.54%,MinDCF 0.25%, MinDCF 0.24%
27 epoch, LR 0.000453, LOSS 2.107146, ACC 55.96%, EER 3.73%, bestEER 3.54%,MinDCF 0.24%, MinDCF 0.24%
